final_cash,total_borrow,total_invest,objective,scenario
5000000.0,4908796.3,222965.6925,-47973.13453749999,308
5000000.0,4961626.7,307058.68,-48080.973600000005,309
5000000.0,5002499.2,484908.223,-47600.45088500001,310
5000000.0,4953953.358100001,292374.395,-48077.661606,311
5000000.0,4982646.6,361128.0944,-48020.825527999994,312
5000000.0,4919888.5,487103.6767,-46763.36661650001,313
5000000.0,4973470.5,513603.885,-47166.68557500001,314
5000000.0,4960365.435500001,273860.295,-48234.35288,315
5000000.0,5001277.6,386625.891,-48079.646544999996,316
5000000.0,4928476.1,295033.4242,-47809.593879,317
5000000.0,5030010.0,286072.752,-48869.73624,318
5000000.0,4979896.6,315448.621,-48221.72289499999,319
5000000.0,5027307.1,278647.617,-48879.83291499999,320
5000000.0,4960165.9,106606.26400000001,-49068.627680000005,321
5000000.0,4963462.8,559678.998,-46836.23300999999,322
5000000.0,4925760.2,347055.6515,-47522.323742500004,323
5000000.0,4970824.6,355008.142,-47933.20528999999,324
5000000.0,4979963.4,441578.811,-47591.739945000016,325
5000000.0,5015897.2,383291.848,-48242.512760000005,326
5000000.0,4956716.9,391674.2535,-47608.7977325,327
5000000.0,5016075.3,246791.6928,-48926.794536,328
5000000.0,5014657.8,547596.41,-47408.59595,329
5000000.0,4975264.6,310284.363,-48201.224185,330
5000000.0,4970331.6,237222.71,-48517.202450000004,331
5000000.0,4962992.0,298180.272,-48139.01864,332
5000000.0,4993222.3,538006.002,-47242.192989999996,333
5000000.0,5011864.8,452165.253,-47857.821735000005,334
5000000.0,4962671.8,535789.7930000001,-46947.769035,335
5000000.0,4992087.2,298151.3211,-48430.1153945,336
5000000.0,5032991.3,228203.97900000002,-49188.89310500001,337
5000000.0,5002445.818,342656.363,-48311.17636500001,338
5000000.0,4985709.6,603478.4380000001,-46839.70380999999,339
5000000.0,4972031.4,577675.619,-46831.935905,340
5000000.0,4975266.3,381021.386,-47847.55607,341
5000000.0,4971049.8,305231.925,-48184.338375,342
5000000.0,4974394.0,267135.73,-48408.26134999999,343
5000000.0,4905844.6,185232.9195,-48132.281402500004,344
5000000.0,5037248.687,176802.34699999998,-49488.47513500001,345
5000000.0,4987888.4,379683.322,-47980.46739000001,346
5000000.0,4919871.0,492469.92,-46736.3604,347
5000000.0,4928786.3,252955.43654,-48023.0858173,348
5000000.0,4985855.6,201872.957,-48849.191215,349
5000000.0,4996951.5,284351.263,-48547.75868499999,350
5000000.0,4985731.1,372422.186,-47995.20006999999,351
5000000.0,4967921.23177,146155.03399999999,-48948.437147699995,352
5000000.0,4969459.1,478253.96,-47303.3212,353
5000000.0,4959416.2,261781.253,-48285.255735,354
5000000.0,4999938.3,288757.121,-48555.597395000004,355
5000000.0,5019605.815,495870.632,-47716.70499000001,356
5000000.0,4931114.1,432158.45999999996,-47150.348699999995,357
5000000.0,4936029.7,491234.807,-46904.12296500001,358
5000000.0,5021151.2,436229.96599999996,-48030.36217,359
5000000.0,5018217.9,395448.471,-48204.93664500001,360
5000000.0,4988582.6273,310881.644,-48331.418053,361
5000000.0,4956264.9,280022.832,-48162.53484,362
5000000.0,4959275.9,484524.41099999996,-47170.136945000006,363
5000000.0,4970765.9,327002.772,-48072.64514,364
5000000.0,4989870.0,442443.556,-47686.482220000005,365
5000000.0,5020283.9,624403.859,-47080.819705,366
5000000.0,4975607.7,358173.044,-47965.211780000005,367
5000000.0,4974911.7,357962.904,-47959.302480000006,368
5000000.0,4977166.5,443055.7145,-47556.3864275,369
5000000.0,5001393.5,692663.6560000001,-46550.61672,370
5000000.0,5020990.8,256638.282,-48926.716589999996,371
5000000.0,5010654.6,340008.936,-48406.501319999996,372
5000000.0,5018346.276,311876.43059999996,-48624.080606999996,373
5000000.0,5005387.3,354890.845,-48279.418775000006,374
5000000.0,5013765.1,539316.133,-47441.070335,375
5000000.0,4920113.6,479242.294,-46804.92453,376
5000000.0,4986955.0,489482.831,-47422.135845000004,377
5000000.0,4971566.9,535073.709,-47040.300455,378
5000000.0,4954599.9,303538.821,-48028.304895,379
5000000.0,4983507.7,411963.01399999997,-47775.26193000001,380
5000000.0,4970460.7,414525.7546,-47631.978227,381
5000000.0,5039462.2,350983.439,-48639.704805,382
5000000.0,4945860.7,359114.633,-47663.033834999995,383
5000000.0,4982561.0,309963.309,-48275.793455000006,384
5000000.0,5016493.0,342464.665,-48452.606675,385
5000000.0,4980155.2,533072.882,-47136.18759,386
5000000.0,5017609.4,340326.347,-48474.46226500001,387
5000000.0,5029030.5,263339.44069,-48973.60779654999,388
5000000.0,4940378.3,245368.251,-48176.941745,389
5000000.0,4983128.0,430863.491,-47676.962544999995,390
5000000.0,4974963.8,252352.7588,-48487.874206,391
5000000.0,5044276.9,470902.781,-48088.255095,392
5000000.0,5029451.237,250799.276,-49040.51598999999,393
5000000.0,4979905.5,613283.547,-46732.637265,394
5000000.0,5020443.5,236361.53,-49022.62734999999,395
5000000.0,5033213.4056,335265.266,-48655.80772600001,396
5000000.0,4958217.8,366509.844,-47749.62878000001,397
5000000.0,5024450.363,270019.93,-48894.40398000002,398
5000000.0,5003174.0,268060.6564,-48691.43671799999,399
5000000.0,4960953.5,428219.783,-47468.436085,400
5000000.0,4952454.8,538072.473,-46834.185635,401
5000000.0,4977203.3,439311.06299999997,-47575.477685000005,402
5000000.0,4952926.2,253628.98690000002,-48261.1170655,403
5000000.0,4965941.8,606744.554,-46625.69523,404
5000000.0,5007155.1,362016.7448,-48261.467275999996,405
5000000.0,4977611.2,434522.835,-47603.497825,406
5000000.0,4879841.3,510055.247,-46248.136765,407
5000000.0,4981177.3,478147.264,-47421.03668000001,408
5000000.0,4985727.2,459162.439,-47561.459805000006,409
5000000.0,4950119.7,368663.099,-47657.881505,410
5000000.0,4962343.1,336892.142,-47938.97029,411
5000000.0,4977291.5,417264.631,-47686.591845,412
5000000.0,5054015.4,451677.93428,-48281.7643286,413
5000000.0,5015707.6,305909.03,-48627.53085,414
5000000.0,4951303.4,538203.7,-46822.0155,415
5000000.0,4958259.1,391826.559,-47623.458204999995,416
5000000.0,4983534.9,214216.127,-48764.268365,417
5000000.0,5016190.6628,235404.607,-48984.883593000006,418
5000000.0,4951506.030599999,209994.199,-48465.08931099999,419
5000000.0,5010561.8,451575.969,-47847.738155,420
5000000.0,4974098.0,558109.98,-46950.430100000005,421
5000000.0,4964880.1,298450.85599999997,-48156.546720000006,422
5000000.0,4980127.5,322634.4043,-48188.10297850001,423
5000000.0,4916783.5,496780.62100000004,-46683.93189499999,424
5000000.0,4972403.9,431272.536,-47567.676320000006,425
5000000.0,4981331.8,451541.75899999996,-47555.60920500001,426
5000000.0,5007345.445,427993.524,-47933.48683,427
5000000.0,4952928.7,246673.089,-48295.92155500001,428
5000000.0,4960831.3,485732.631,-47179.64984500001,429
